Ten phim,Nam san xuat,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
Strange Way of Life,2023,77.0,positive,54.0,negative,04/10/2023,13/02/2024,R (Language|Bloody Images|Some Sexual Content),English,31m
Dream Scenario,2023,91.0,positive,68.0,positive,22/11/2023,22/12/2023,R (Some Sexual Content|Language|Violence),English,1h 42m
The Zone of Interest,2023,93.0,positive,78.0,positive,15/12/2023,20/02/2024,PG-13 (Some Suggestive Material|Smoking|Thematic Material),German,1h 46m
Children of the Corn,2023,12.0,negative,38.0,negative,03/03/2023,21/03/2023,R (Violence and Bloody Images),English,1h 32m
The Machine,2023,31.0,negative,87.0,positive,26/05/2023,20/06/2023,R (Pervasive Language|Drug Use|Some Sexual References|Strong Violence),English,1h 52m
The Secret Kingdom,2023,63.0,positive,48.0,negative,09/06/2023,09/06/2023,PG (Action/Peril|Thematic Elements),English,1h 38m
"Ruby Gillman, Teenage Kraken",2023,65.0,positive,81.0,positive,30/06/2023,18/07/2023,PG (Some Action|Rude Humor|Thematic Elements),English,1h 31m
Society of the Snow,2023,90.0,positive,88.0,positive,22/12/2023,04/01/2024,R (Violent/Disturbing Material|Brief Graphic Nudity),Spanish,2h 24m
What Happens Later,2023,51.0,negative,28.0,negative,03/11/2023,28/11/2023,R (Some Sexual References|Language|Brief Drug Use),English,1h 43m
Joy Ride,2023,90.0,positive,82.0,positive,07/07/2023,28/07/2023,R (Drug Content|Brief Graphic Nudity|Language Throughout|Strong & Crude Sexual Content),English,1h 35m
Jesus Revolution,2023,54.0,negative,99.0,positive,24/02/2023,11/04/2023,PG-13 (Strong Drug Content|Some Thematic Elements),English,1h 59m
Champions,2023,58.0,negative,95.0,positive,10/03/2023,28/03/2023,PG-13 (Strong Language|Crude/Sexual References),English,2h 3m
Gran Turismo: Based on a True Story,2023,65.0,positive,98.0,positive,25/08/2023,26/09/2023,PG-13 (Some Strong Language|Intense Action),English,2h 15m
All of Us Strangers,2023,96.0,positive,91.0,positive,22/12/2023,22/02/2024,R (Sexual Content|Language|Some Drug Use),English,1h 45m
80 for Brady,2023,58.0,negative,89.0,positive,03/02/2023,07/03/2023,PG-13 (Some Suggestive References|Some Drug Content|Brief Strong Language),English,1h 38m
Breakwater,2023,40.0,negative,48.0,negative,22/12/2023,22/12/2023,R (Language|Violence|Some Sexual Material),English,1h 37m
Godzilla Minus One,2023,98.0,positive,98.0,positive,01/12/2023,01/06/2024,PG-13 (Creature Violence and Action),Japanese,2h 5m
Operation Fortune: Ruse de guerre,2023,51.0,negative,82.0,positive,03/03/2023,21/03/2023,R (Language and Violence),English,1h 54m
The Flood,2023,33.0,negative,23.0,negative,14/07/2023,14/07/2023,R,English,1h 31m
One True Loves,2023,30.0,negative,35.0,negative,07/04/2023,14/04/2023,PG-13,English,1h 40m
Spy Kids: Armageddon,2023,54.0,negative,43.0,negative,22/09/2023,22/09/2023,PG (Sequences of Action),English,1h 48m
Beau Is Afraid,2023,68.0,positive,71.0,positive,21/04/2023,13/06/2023,R (Graphic Nudity|Drug Use|Language|Sexual Content|Strong Violent Content),English,2h 59m
Occupied City,2023,70.0,positive,78.0,positive,25/12/2023,23/02/2024,PG-13 (Smoking|Sexual Material|Brief Drug Use|Strong Language|Thematic Material),English,4h 0m
The Exorcist: Believer,2023,22.0,negative,59.0,negative,06/10/2023,24/10/2023,R (Language|Disturbing Images|Sexual References|Some Violent Content),English,1h 51m
Fingernails,2023,60.0,positive,47.0,negative,27/10/2023,03/11/2023,R (Language),English,1h 53m
Heart of Stone,2023,31.0,negative,51.0,negative,11/08/2023,11/08/2023,PG-13 (Action|Some Language|Sequences of Violence),English,2h 2m
Thanksgiving,2023,84.0,positive,80.0,positive,17/11/2023,19/12/2023,R (Pervasive Language|Gore|Some Sexual Material|Strong Bloody Horror Violence),English,1h 47m
Saw X,2023,80.0,positive,89.0,positive,29/09/2023,20/10/2023,R (Language|Grisly Bloody Violence|Some Drug Use|Torture),English,1h 58m
Evil Dead Rise,2023,84.0,positive,76.0,positive,21/04/2023,09/05/2023,R (Some Language|Gore|Strong Bloody Horror Violence),English,1h 36m
The Re-Education of Molly Singer,2023,20.0,negative,95.0,positive,29/09/2023,29/09/2023,R (Pervasive Language|Some Drug Use|Sexual Content),English,2h 0m
The Boys in the Boat,2023,57.0,negative,97.0,positive,25/12/2023,16/01/2024,PG-13 (Language and Smoking),English,2h 4m
Satanic Hispanics,2023,90.0,positive,52.0,negative,14/09/2023,14/11/2023,R (Bloody Violence and Gore|Some Sexual Material|Language Throughout),English,1h 45m
It's a Wonderful Knife,2023,54.0,negative,72.0,positive,10/11/2023,22/12/2023,R (Language|Drug Use|Bloody Violence),English,1h 27m
To Catch a Killer,2023,52.0,negative,63.0,positive,21/04/2023,16/05/2023,R (Strong Violent Content|Strong Language),English,1h 59m
Supercell,2023,50.0,negative,76.0,positive,17/03/2023,17/03/2023,PG-13 (Some Peril|Smoking|Language),English,1h 40m
Memory,2023,85.0,positive,71.0,positive,22/12/2023,20/02/2024,R (Some Sexual Content|Language|Graphic Nudity),English,1h 40m
Lift,2023,100.0,positive,80.0,positive,15/09/2023,22/09/2023,PG-13 (Brief Strong Language),English,1h 27m
Sound of Freedom,2023,57.0,negative,99.0,positive,04/07/2023,13/10/2023,PG-13 (Violence|Sex Trafficking|Language|Thematic Content|Sexual References|Smoking Throughout|Some Drug References),English,2h 11m
Bank of Dave,2023,86.0,positive,86.0,positive,25/08/2023,25/08/2023,PG-13 (Some Strong Language),English (United Kingdom),1h 47m
Maybe I Do,2023,32.0,negative,61.0,positive,27/01/2023,14/02/2023,PG-13 (Sexually Suggestive Material|Brief Strong Language),English,1h 35m
A Man Called Otto,2023,70.0,positive,97.0,positive,13/01/2023,28/02/2023,PG-13 (Mature Thematic Material|Language|Suicide Attempts),English,2h 6m
Marlowe,2023,26.0,negative,37.0,negative,15/02/2023,04/04/2023,R (Language|Brief Drug Use|Some Sexual Material|Violent Content),English,1h 49m
The Equalizer 3,2023,76.0,positive,64.0,positive,01/09/2023,03/10/2023,R (Strong Bloody Violence|Some Language),English,1h 49m
One Day as a Lion,2023,64.0,positive,49.0,negative,04/04/2023,07/04/2023,R (Sexual References|Pervasive Language|Some Violence),English,1h 27m
The Monkey King,2023,59.0,negative,64.0,positive,11/08/2023,18/08/2023,PG (Action/Violence|Brief Thematic Material),English,1h 32m
Stamped From the Beginning,2023,100.0,positive,66.0,positive,10/11/2023,20/11/2023,R (Nude Images|Language|Drug Content|Racism|Some Violent Content),English,1h 31m
Kandahar,2023,45.0,negative,82.0,positive,26/05/2023,15/08/2023,R (Violence and Language),English,1h 59m
Haunted Mansion,2023,37.0,negative,84.0,positive,28/07/2023,04/10/2023,PG-13 (Some Thematic Elements|Scary Action),English,2h 3m
Sitting in Bars with Cake,2023,75.0,positive,84.0,positive,08/09/2023,08/09/2023,PG-13,English,2h 0m
Mummies,2023,53.0,negative,88.0,positive,24/02/2023,07/04/2023,PG (Some Rude Material|Mild Action/Violence),English,1h 28m
57 Seconds,2023,13.0,negative,45.0,negative,29/09/2023,29/09/2023,R (Violence and Language),English,1h 39m
"Pamela, a Love Story",2023,96.0,positive,92.0,positive,31/01/2023,31/01/2023,TV-MA,English,1h 52m
Maggie Moore(s),2023,51.0,negative,64.0,positive,16/06/2023,16/06/2023,R (Language Throughout|Drug Use|Brief Nudity|Some Sexual Material|Violence),English,1h 39m
Godzilla: Tokyo S.O.S.,2023,80.0,positive,72.0,positive,22/03/2023,16/04/2012,PG,Japanese,1h 37m
The Subtle Art of Not Giving a #@%!,2023,85.0,positive,40.0,negative,04/01/2023,10/01/2023,R (Language Throughout|Brief Violent Images),English,1h 37m
Snag,2023,20.0,negative,56.0,negative,28/04/2023,28/04/2023,R (Bloody Violence|Language Throughout),English,1h 27m
The Boy and the Heron,2023,97.0,positive,88.0,positive,08/12/2023,25/06/2024,PG-13 (Smoking|Bloody Images|Some Violent Content),Japanese,2h 4m
My Happy Ending,2023,38.0,negative,43.0,negative,24/02/2023,25/04/2023,R (Language and Brief Drug Use),English,1h 29m
The Offering,2023,74.0,positive,48.0,negative,13/01/2023,13/01/2023,R (Violence),English,1h 33m
A Million Miles Away,2023,89.0,positive,64.0,positive,08/09/2023,15/09/2023,PG,English,2h 1m
Our Son,2023,86.0,positive,79.0,positive,08/12/2023,15/12/2023,R (Language|Some Sexual Content/Nudity),English,1h 44m
The Killer,2023,85.0,positive,61.0,positive,27/10/2023,10/11/2023,R (Strong Violence|Language|Brief Sexuality),English,1h 58m
Dead Man's Hand,2023,0.0,negative,24.0,negative,07/07/2023,07/07/2023,R (Bloody Violent Content|Some Nudity|Language),English,1h 36m
Nimona,2023,92.0,positive,91.0,positive,23/06/2023,30/06/2023,PG (Thematic Elements|Some Language|Rude Humor|Violence and Action),English,1h 41m
The Case of the Talking Mongoose,2023,46.0,negative,64.0,positive,01/09/2023,19/09/2023,PG-13 (Some Strong Language|Smoking Throughout|Brief Partial Nudity),English (United Kingdom),1h 36m
Asteroid City,2023,75.0,positive,62.0,positive,23/06/2023,11/07/2023,PG-13 (Smoking|Brief Graphic Nudity|Some Suggestive Material),English,1h 45m
Hypnotic,2023,31.0,negative,62.0,positive,12/05/2023,30/05/2023,R (Violence),English,1h 32m
"Miraculous: Ladybug & Cat Noir, The Movie",2023,50.0,negative,75.0,positive,21/07/2023,28/07/2023,PG (Some Thematic Elements|Brief Smoking|Action),French (France),1h 45m
Double Life,2023,13.0,negative,80.0,positive,05/05/2023,05/05/2023,PG-13 (Language|Violence|Some Sexual Content),English,1h 29m
The Inventor,2023,75.0,positive,59.0,negative,15/09/2023,07/11/2023,PG (Some Thematic Elements|Nude Art Images),English,1h 32m
It Ain't Over,2023,98.0,positive,96.0,positive,12/05/2023,11/07/2023,PG (Smoking|Language|Brief War Images|Some Drug References),English,1h 38m
Journey to Bethlehem,2023,75.0,positive,64.0,positive,10/11/2023,08/12/2023,PG,English,1h 38m
The Good Mother,2023,22.0,negative,35.0,negative,01/09/2023,19/09/2023,R (Some Violent Content|Language Throughout|Drug Material),English,1h 29m
In the Fire,2023,15.0,negative,29.0,negative,13/10/2023,13/10/2023,R (Brief Sexuality|Some Violent Content),English,1h 27m
Luther: The Fallen Sun,2023,67.0,positive,85.0,positive,24/02/2023,10/03/2023,R (Some Sexual Material|Language|Disturbing/Violent Content),English (United Kingdom),2h 8m
The Starling Girl,2023,92.0,positive,97.0,positive,12/05/2023,11/07/2023,R,English,1h 56m
Beautiful Disaster,2023,25.0,negative,55.0,negative,12/04/2023,02/05/2023,R (Sexual Content|Language|Some Violence|Teen Drinking),English,1h 36m
Butcher's Crossing,2023,74.0,positive,47.0,negative,20/10/2023,07/11/2023,R (Some Violence/Bloody Images|Language|Brief Sexual Content),English,1h 45m
How to Blow Up a Pipeline,2023,95.0,positive,66.0,positive,07/04/2023,18/08/2023,R (Some Drug Use|Language Throughout),English,1h 39m
You Hurt My Feelings,2023,95.0,positive,64.0,positive,26/05/2023,22/06/2023,R (Language),English,1h 33m
Mars One,2023,97.0,positive,68.0,positive,05/01/2023,05/01/2023,TV-MA (Language|Nudity|Smoking),Portuguese (Brazil),1h 55m
Shazam! Fury of the Gods,2023,49.0,negative,86.0,positive,17/03/2023,07/04/2023,PG-13 (Sequences of Action|Language|Violence),English,2h 10m
Transformers: Rise of the Beasts,2023,52.0,negative,91.0,positive,09/06/2023,11/07/2023,PG-13 (Language|Intense Sci-Fi Action|Violence),English,2h 7m
Confidential Informant,2023,0.0,negative,39.0,negative,30/06/2023,27/06/2023,R (Graphic Nudity|Drug Use|Language Throughout|Some Violence),English,1h 28m
Plane,2023,78.0,positive,64.0,positive,13/01/2023,02/02/2023,R (Violence and Language),English,1h 47m
Candy Cane Lane,2023,45.0,negative,45.0,negative,24/11/2023,01/12/2023,PG (Some Suggestive References|Language Throughout),English,1h 48m
Of an Age,2023,86.0,positive,88.0,positive,17/02/2023,07/03/2023,R (Some Drug Use|Sexual Content|Language Throughout),English,1h 39m
Fair Play,2023,85.0,positive,54.0,negative,29/09/2023,06/10/2023,R (Sexual Violence|Sexual Content|Pervasive Language|Some Nudity),English,1h 53m
The Old Way,2023,32.0,negative,70.0,positive,06/01/2023,13/01/2023,R (Violence),English,1h 35m
You Are So Not Invited to My Bat Mitzvah,2023,91.0,positive,60.0,positive,25/08/2023,25/08/2023,PG-13 (Brief Teen Drinking|Strong Language|Some Crude/Suggestive Material),English,1h 41m
The Best Man,2023,33.0,negative,33.0,negative,21/04/2023,21/04/2023,R (Violence|Language Throughout|Teen Drinking|Drug Use),English,1h 33m
The Price We Pay,2023,56.0,negative,31.0,negative,13/01/2023,10/01/2023,R (Strong Horror Violence|Pervasive Language|Gore),English,1h 26m
Dumb Money,2023,84.0,positive,85.0,positive,22/09/2023,07/11/2023,R (Pervasive Language|Drug Use|Sexual Material),English,1h 45m
Desperation Road,2023,60.0,positive,77.0,positive,06/10/2023,06/10/2023,R (Nudity|Language Throughout|Brief Sexuality|Sexual Assault|Some Violence),English,1h 52m
Extraction 2,2023,79.0,positive,85.0,positive,09/06/2023,16/06/2023,R (Language|Strong/Bloody Violence),English,2h 3m
Tetris,2023,81.0,positive,87.0,positive,24/03/2023,31/03/2023,R (Language),English,1h 58m
Wild Life,2023,91.0,positive,72.0,positive,14/04/2023,26/05/2023,PG-13 (Brief Strong Language),English,1h 33m
Next Goal Wins,2023,45.0,negative,84.0,positive,17/11/2023,16/01/2024,PG-13 (Some Strong Language|Crude Material),English,1h 44m
Creed III,2023,88.0,positive,95.0,positive,03/03/2023,31/03/2023,PG-13 (Some Strong Language|Intense Sports Action|Violence),English,1h 56m
Mercy Road,2023,55.0,negative,33.0,negative,06/10/2023,10/10/2023,R (Language Throughout),English (Australia),1h 25m
The Amazing Maurice,2023,73.0,positive,68.0,positive,03/02/2023,04/04/2023,PG (Some Rude Material|Action/Peril),English,1h 33m
The Boogeyman,2023,61.0,positive,66.0,positive,02/06/2023,29/08/2023,PG-13 (Teen Drug Use|Some Strong Language|Terror|Violent Content),English,1h 38m
The Lost King,2023,77.0,positive,92.0,positive,24/03/2023,09/05/2023,PG-13 (Some Strong Language|Brief Suggestive References),English,1h 49m
Slotherhouse,2023,61.0,positive,72.0,positive,30/08/2023,19/09/2023,PG-13 (Violence|Language|Bloody Images),English,1h 33m
Chicken Run: Dawn of the Nugget,2023,81.0,positive,71.0,positive,08/12/2023,15/12/2023,PG (Some Thematic Elements|Peril|Action),English,1h 41m
Mercy,2023,0.0,negative,21.0,negative,12/05/2023,19/05/2023,R (Violence|Pervasive Language|Bloody Images),English,1h 25m
Space Oddity,2023,56.0,negative,64.0,positive,31/03/2023,31/03/2023,PG-13 (Thematic Elements|Suggestive Material|Some Strong Language),English,1h 32m
Cassandro,2023,91.0,positive,74.0,positive,15/09/2023,22/09/2023,R (Sexual Content|Language|Drug Use),English,1h 47m
The Tutor,2023,18.0,negative,36.0,negative,24/03/2023,09/05/2023,R,English,1h 32m
The Blackening,2023,87.0,positive,85.0,positive,16/06/2023,07/07/2023,R (Pervasive Language|Drug Use|Violence),English,1h 37m
The Pod Generation,2023,41.0,negative,55.0,negative,11/08/2023,29/08/2023,PG-13 (Suggestive Material|Partial Nudity|Brief Strong Language),English,1h 49m
A Good Person,2023,57.0,negative,96.0,positive,24/03/2023,11/04/2023,R (Language Throughout|Drug Abuse|Some Sexual References),English,2h 9m
Retribution,2023,29.0,negative,66.0,positive,25/08/2023,15/09/2023,R (Some Language and Violence),English,1h 30m
The Kitchen,2023,89.0,positive,47.0,negative,08/12/2023,19/01/2024,R (Language),English,1h 48m
Freelance,2023,10.0,negative,76.0,positive,27/10/2023,28/11/2023,R (Violence and Language),English,1h 49m
The Out-Laws,2023,21.0,negative,35.0,negative,30/06/2023,07/07/2023,R (Sexual Material|Language Throughout|Brief Drug Use|Violence),English,1h 35m
Out of Exile,2023,25.0,negative,50.0,negative,20/01/2023,20/01/2023,R,English,1h 47m
Insidious: The Red Door,2023,39.0,negative,70.0,positive,07/07/2023,01/08/2023,PG-13 (Strong Language|Frightening Images|Suggestive References|Terror|Violence),English,1h 47m
Migration,2023,73.0,positive,88.0,positive,22/12/2023,23/01/2024,PG (Mild Rude Humor|Action/Peril),English,1h 23m
Good Boy,2023,94.0,positive,42.0,negative,08/09/2023,08/09/2023,R (Some Violent Content|Language),Norwegian,1h 19m
The Other Zoey,2023,80.0,positive,79.0,positive,20/10/2023,10/11/2023,PG-13 (Some Strong Language|Suggestive References),English,1h 26m
Paint,2023,31.0,negative,57.0,negative,07/04/2023,09/05/2023,PG-13 (Smoking|Sexual/Suggestive Material|Drug Use),English,1h 36m
Book Club: The Next Chapter,2023,46.0,negative,84.0,positive,12/05/2023,30/05/2023,PG-13 (Suggestive Material|Some Strong Language),English,1h 47m
Ambush,2023,25.0,negative,43.0,negative,24/02/2023,24/02/2023,R (Violence|Some Bloody Images|Language),English,1h 44m
Assassin,2023,9.0,negative,68.0,positive,31/03/2023,31/03/2023,R (Violence and Language),English,1h 28m
Leave the World Behind,2023,73.0,positive,35.0,negative,22/11/2023,08/12/2023,R (Language|Drug Use|Brief Bloody Images|Some Sexual Content),English,2h 20m
Strays,2023,53.0,negative,69.0,positive,18/08/2023,05/09/2023,R (Drug Use|Crude and Sexual Content|Pervasive Language),English,1h 33m
Blueback,2023,85.0,positive,56.0,negative,03/03/2023,21/04/2023,PG,English,1h 42m
The Retirement Plan,2023,60.0,positive,41.0,negative,15/09/2023,17/10/2023,R (Violence|Pervasive Language),English,1h 43m
Perfect Days,2023,96.0,positive,89.0,positive,10/11/2023,05/03/2024,PG (Smoking|Partial Nudity|Some Language),Japanese,2h 4m
Summoning Sylvia,2023,100.0,positive,86.0,positive,31/03/2023,07/04/2023,R (Sexual Content and Language),English,1h 14m
May December,2023,91.0,positive,65.0,positive,17/11/2023,01/12/2023,R (Graphic Nudity|Drug Use|Language|Some Sexual Content),English,1h 53m
Robots,2023,18.0,negative,39.0,negative,19/05/2023,19/05/2023,R (Sexual Content|Pervasive Language),English,1h 33m
The Super Mario Bros. Movie,2023,59.0,negative,95.0,positive,05/04/2023,16/05/2023,PG (Action and Mild Violence),English,1h 32m
The Persian Version,2023,84.0,positive,93.0,positive,20/10/2023,05/12/2023,R (Some Sexual References|Language),English,1h 47m
A Haunting in Venice,2023,75.0,positive,77.0,positive,15/09/2023,31/10/2023,PG-13 (Some Strong Violence|Disturbing Images|Thematic Elements),English,1h 43m
It Lives Inside,2023,64.0,positive,47.0,negative,22/09/2023,10/10/2023,PG-13 (Brief Strong Language|Bloody Images|Teen Drug Use|Terror|Violent Content),English,1h 39m
Sisu,2023,94.0,positive,88.0,positive,28/04/2023,16/05/2023,R (Language|Gore|Strong Bloody Violence),Finnish,1h 31m
Chevalier,2023,77.0,positive,97.0,positive,21/04/2023,16/06/2023,PG-13 (Suggestive Material|Some Strong Language|Thematic Content|Violence),English,1h 47m
John Wick: Chapter 4,2023,94.0,positive,93.0,positive,24/03/2023,23/05/2023,R (Some Language|Pervasive Strong Violence),English,2h 49m
Ferrari,2023,72.0,positive,74.0,positive,25/12/2023,23/01/2024,R (Language|Graphic Images|Sexual Content|Some Violent Content),English,2h 10m
Rustin,2023,84.0,positive,83.0,positive,03/11/2023,17/11/2023,PG-13 (Some Violence|Racial Slurs|Thematic Material|Language|Brief Drug Use|Sexual Material|Smoking),English,1h 48m
Killers of the Flower Moon,2023,93.0,positive,84.0,positive,20/10/2023,05/12/2023,R (Some Grisly Images|Language|Violence),English,3h 26m
Knock at the Cabin,2023,67.0,positive,63.0,positive,03/02/2023,21/02/2023,R (Violence and Language),English,1h 40m
Dragon Ball Z,2024,5.0,positive,100.0,positive,10/07/2024,10/07/2024,R (Very exciting|Interesting),English,1h 56m
Dragon Ball Super,2024,3.0,positive,78.0,positive,08/10/2024,08/10/2024,R (Language Throughout|Bloody Images|Violence),English,1h 19m
Dragon Ball AF,2024,2.0,positive,87.0,positive,26/05/2024,26/05/2024,R (Very exciting|Interesting),English,1h 24m
